message_size_kb,transfer_steps,connection_quality,has_urgent_keyword,has_link,is_spam,is_lost
44.65,13,0.33,1,0,1,1
44.98,13,0.723,1,0,1,1
9.68,3,0.843,0,0,0,0
21.06,6,0.777,0,0,0,0
26.54,6,0.797,0,0,1,0
70.81,1,0.828,0,0,0,0
18.61,8,0.711,0,0,0,0
40.49,16,0.103,0,0,0,1
128.96,6,0.756,0,1,1,0
26.59,20,0.0,0,0,0,1
94.77,15,0.541,0,0,0,0
80.88,19,0.797,1,0,1,0
41.75,11,0.106,0,0,1,1
21.61,6,0.914,0,0,1,1
18.74,5,0.495,0,1,1,1
111.08,10,0.392,0,1,1,0
210.02,7,0.557,0,0,0,0
30.11,7,0.414,0,1,1,1
18.35,7,0.837,0,0,1,0
85.34,4,0.833,0,0,1,1
64.75,6,0.826,0,0,1,1
32.3,7,0.419,0,1,1,1
94.55,4,0.762,1,0,0,0
13.98,12,0.024,0,0,1,1
36.34,1,0.791,0,0,0,1
10.44,12,0.059,0,0,0,1
21.47,6,0.835,0,0,1,1
26.94,11,0.317,0,1,0,1
17.07,4,0.818,0,0,1,0
22.57,9,0.706,0,0,1,0
34.99,5,0.938,0,0,0,0
37.68,4,0.736,0,0,0,0
55.08,6,0.762,0,0,0,1
21.1,4,0.747,0,0,0,0
40.55,7,0.73,0,1,1,0
146.64,6,0.46,1,0,0,1
74.47,8,0.831,0,0,0,1
28.91,7,0.943,0,0,0,0
19.9,10,0.904,0,0,0,1
46.2,4,0.599,0,0,0,0
18.46,5,1.0,0,0,0,0
25.99,14,0.267,0,0,0,1
19.31,3,0.827,0,0,0,0
83.87,13,0.269,0,0,0,1
42.92,37,0.524,0,0,1,1
20.44,7,0.444,0,0,1,1
59.91,4,0.96,0,1,1,0
28.96,13,0.251,1,0,1,1
19.02,24,0.678,0,0,0,1
39.2,5,0.811,0,0,0,0
28.32,13,0.148,0,0,1,1
92.17,7,0.701,1,1,1,0
1106.47,4,0.877,0,0,1,1
57.89,5,0.771,0,0,1,1
129.49,13,0.252,0,0,1,1
7.65,5,0.801,0,1,1,0
108.07,28,0.567,0,0,1,0
64.49,5,0.597,1,0,1,0
12.75,8,0.51,1,1,1,0
12.73,4,0.768,0,0,1,0
43.8,6,0.87,1,0,1,0
848.01,32,0.238,0,0,0,0
1024.52,15,0.266,0,0,1,1
37.87,9,0.248,0,0,1,1
12.77,19,0.498,0,1,1,1
67.27,2,0.725,0,0,0,0
83.47,14,0.117,0,0,1,1
12.14,8,0.699,0,0,0,0
48.75,13,0.251,0,0,0,1
73.53,8,0.524,0,0,0,0
59.02,4,0.934,0,0,0,1
35.6,4,0.624,0,1,1,0
35.41,4,0.482,1,1,1,0
78.35,11,0.81,0,0,1,1
25.3,5,0.729,0,0,0,0
55.06,18,0.266,0,0,0,1
1.79,8,0.962,0,0,0,0
43.05,5,0.782,0,1,1,1
67.54,8,0.677,0,1,0,1
88.05,4,0.975,1,0,1,0
50.46,26,0.794,0,0,0,0
41.65,4,0.724,0,0,1,0
18.83,5,0.866,0,0,1,0
73.13,4,0.712,0,0,0,1
147.5,7,0.419,0,1,1,1
46.79,9,0.914,0,1,1,0
85.13,4,0.912,0,0,1,0
13.01,4,0.856,0,0,0,0
127.12,16,0.557,0,0,1,1
17.66,7,0.564,1,0,0,0
61.47,5,0.667,1,1,1,0
83.4,14,0.167,0,0,1,1
82.28,9,0.625,0,0,1,0
10.14,10,0.27,0,0,0,1
18.11,40,0.115,1,0,1,1
295.18,14,0.219,0,0,1,0
66.28,12,0.013,0,0,0,1
30.24,15,0.32,0,0,0,1
21.64,7,0.9,0,0,0,1
2.17,3,0.923,0,0,0,1
27.36,10,0.715,0,0,0,0
33.41,4,0.474,0,0,0,1
48.38,20,0.283,0,1,1,1
12.91,8,0.741,1,0,0,0
67.78,6,0.789,1,0,0,1
141.34,19,0.379,0,0,0,1
23.32,5,0.753,0,0,1,1
47.62,6,0.824,0,0,0,0
48.44,17,0.296,0,0,0,0
16.76,6,0.733,0,0,0,0
26.22,8,0.613,1,1,1,1
8.04,5,0.504,0,0,0,1
21.65,10,0.763,1,1,1,1
52.02,32,0.268,0,0,0,1
10.45,6,0.075,1,0,0,1
23.49,13,0.108,0,0,1,1
14.38,2,0.589,0,0,0,1
70.01,5,0.726,0,0,0,0
87.14,14,0.568,0,0,1,1
69.1,5,0.524,0,1,0,0
88.72,12,0.162,0,0,1,0
67.11,15,0.421,0,0,0,1
13.08,2,0.815,0,0,0,0
24.49,3,0.826,0,0,0,1
150.26,16,0.062,0,0,1,1
49.78,28,0.323,0,0,0,1
26.26,10,0.914,0,0,0,0
51.17,7,0.65,0,0,0,0
85.51,21,0.6,1,1,1,1
48.23,6,0.678,0,0,0,1
27.36,4,0.845,0,0,0,0
53.72,7,0.735,0,0,0,0
45.07,13,0.136,0,0,1,1
42.99,6,0.686,0,0,1,1
96.27,10,0.482,0,1,1,1
3.62,4,0.877,0,0,0,0
5.01,8,0.578,1,1,1,0
45.16,11,0.867,0,0,0,1
57.08,20,0.876,0,0,1,1
58.28,5,0.557,0,0,0,1
9.52,7,0.607,1,0,0,0
74.86,16,0.135,1,0,1,1
53.28,13,0.063,0,0,0,1
125.8,8,0.429,1,1,1,1
39.63,6,0.727,0,0,0,1
52.11,4,0.824,1,1,1,0
8.82,2,0.899,0,0,0,1
389.51,8,0.114,0,0,0,1
25.49,1,0.967,0,0,1,0
85.54,2,0.765,0,0,1,1
14.03,5,0.816,0,0,0,0
33.92,22,0.97,0,1,0,1
9.12,13,0.776,0,0,0,1
39.69,14,0.11,0,1,1,1
92.83,8,0.919,0,1,1,0
169.49,42,0.574,1,0,0,1
108.3,7,0.619,1,1,1,0
36.41,3,0.831,0,0,0,0
31.66,6,0.779,0,0,0,0
24.61,13,0.156,1,0,1,1
32.38,4,0.531,0,0,0,1
20.76,4,0.946,0,0,0,1
21.38,4,0.906,1,1,1,0
7.06,4,0.826,0,0,0,0
57.5,18,0.228,0,1,1,1
101.33,12,0.322,1,0,1,0
47.56,5,0.706,1,0,0,0
13.82,5,0.757,1,0,1,0
54.07,10,0.356,0,1,1,0
59.99,20,0.516,0,0,0,1
79.99,5,0.73,0,0,0,1
55.05,13,0.924,0,0,0,1
40.07,5,0.553,0,1,1,1
7.95,6,0.872,0,0,0,1
12.69,2,0.907,1,0,0,0
83.39,6,0.304,0,1,1,1
14.88,21,0.376,0,1,1,1
9.06,5,0.687,0,0,1,0
95.5,5,0.759,0,0,1,1
38.91,6,0.813,1,0,0,0
15.55,6,0.962,0,0,0,0
13.25,5,0.454,0,0,1,1
169.23,8,0.288,0,0,0,0
25.83,7,0.98,0,1,1,0
15.89,4,0.788,0,0,0,0
10.24,1,0.6,0,0,0,0
19.95,5,0.59,1,0,1,0
92.83,5,0.824,0,0,1,1
22.21,16,0.368,0,0,1,1
28.49,7,0.427,1,0,0,1
41.86,5,0.949,0,0,0,1
69.15,5,0.649,0,0,0,0
81.0,6,0.428,0,0,0,1
8.9,2,0.644,1,0,1,0
26.38,7,0.582,1,0,0,0
46.5,6,0.845,0,0,0,0
111.94,10,0.371,0,0,0,1
13.09,22,0.757,0,0,0,1
38.89,6,0.682,0,0,1,0
12.55,6,0.855,0,0,0,0
40.55,15,0.265,0,0,0,1
4.98,7,0.534,0,0,0,1
37.48,9,0.696,0,1,1,0
11.95,2,0.697,0,0,0,0
53.43,7,0.156,0,0,0,1
43.6,2,0.956,0,0,0,0
15.92,7,0.43,0,0,0,0
12.32,3,0.792,0,0,0,0
5.29,5,0.706,0,1,0,0
31.37,7,0.904,0,0,0,0
42.49,11,0.067,1,0,1,0
14.37,4,0.973,0,0,1,0
13.45,31,0.175,0,0,0,1
64.88,9,0.902,1,0,1,0
34.1,4,0.876,0,0,0,0
44.96,2,0.987,0,0,1,0
21.65,3,0.794,0,0,0,1
62.27,5,0.913,0,0,0,1
36.17,9,0.842,0,0,0,0
32.3,31,0.063,0,0,0,1
11.24,6,0.776,0,0,0,1
30.49,15,0.078,1,0,1,1
56.88,30,0.037,0,0,0,1
30.2,8,0.599,0,0,0,1
44.27,4,0.379,0,0,0,0
62.15,5,0.699,0,0,0,1
86.14,5,1.0,0,0,1,1
11.97,2,0.745,0,1,1,1
205.76,20,0.343,0,0,0,1
87.9,11,0.279,0,0,1,1
16.31,6,0.64,0,0,0,0
14.59,7,0.487,1,0,1,0
26.42,3,0.577,0,0,1,0
51.92,7,0.54,0,0,0,0
59.1,5,0.426,0,0,1,0
14.29,16,0.547,0,1,1,1
13.92,6,0.739,0,0,1,0
13.91,5,0.603,0,1,1,1
103.41,6,0.736,0,1,0,0
38.03,14,0.227,0,0,1,1
118.51,16,0.208,0,0,1,1
87.22,4,0.92,0,1,1,0
27.19,8,0.086,0,0,0,1
38.49,7,0.337,1,0,0,1
10.97,3,0.872,0,0,0,0
65.58,10,0.855,0,0,1,0
36.36,3,0.846,0,0,0,1
11.96,4,0.758,0,0,0,0
54.54,12,0.58,0,0,1,1
21.8,9,0.816,0,0,1,1
16.79,25,0.111,0,0,0,1
29.19,8,0.681,0,0,1,0
118.18,4,0.445,1,0,1,0
31.66,13,0.406,0,0,0,1
39.57,5,0.223,0,0,0,0
20.55,4,0.966,1,0,1,1
63.76,7,0.655,0,0,0,0
310.62,7,0.536,0,0,0,0
61.87,4,0.707,0,0,1,0
104.94,13,0.216,1,0,1,1
13.9,2,0.616,0,0,1,0
58.48,13,0.085,0,0,1,1
10.5,4,0.872,0,0,0,0
84.62,17,0.377,1,0,0,1
49.94,17,0.478,0,1,1,0
14.08,6,0.215,0,1,0,1
58.42,12,0.467,1,0,1,1
62.41,4,0.49,0,1,1,1
16.68,4,0.677,0,0,1,1
37.3,6,0.59,0,1,0,0
27.55,22,0.624,1,1,1,1
9.76,16,0.525,1,0,1,0
41.78,7,0.792,0,0,0,0
64.26,7,0.585,1,0,1,0
35.41,4,0.773,1,0,1,1
125.36,7,0.512,1,1,1,0
14.1,4,0.662,0,0,1,1
17.88,3,0.819,0,0,1,0
31.43,9,0.54,1,0,0,0
35.41,4,0.83,0,0,0,1
37.59,5,0.568,1,0,0,0
18.95,13,0.166,0,0,0,1
86.56,2,0.805,1,0,0,0
24.0,3,0.539,0,0,0,1
17.43,11,0.728,0,0,0,1
82.99,5,0.726,0,0,0,1
58.39,3,0.429,0,1,1,1
25.91,7,0.233,0,0,0,1
45.98,6,0.71,1,0,0,0
18.38,14,0.13,1,0,0,1
121.15,16,0.098,0,0,1,1
95.29,3,0.551,1,0,1,0
58.11,20,0.363,0,0,0,1
48.18,15,0.368,0,0,0,1
80.95,6,0.813,0,0,0,1
31.82,7,0.482,0,0,0,0
25.72,8,0.804,0,0,0,0
29.43,11,0.121,0,0,0,1
51.44,1,0.78,0,0,0,1
86.3,3,0.845,1,0,0,0
71.03,5,0.659,1,0,0,0
22.63,8,0.431,1,0,0,1
76.55,4,0.471,1,0,0,0
77.09,22,0.936,1,0,1,1
47.44,7,0.669,0,0,0,0
86.48,24,0.395,0,0,0,1
110.71,6,0.709,0,0,0,1
67.18,6,0.901,0,0,1,0
1138.76,8,0.551,0,0,1,1
56.3,4,0.993,0,0,0,0
34.7,2,0.579,0,0,1,0
37.7,10,0.786,0,0,0,0
18.51,7,0.494,0,0,0,0
48.54,6,0.855,0,0,1,0
28.03,8,0.764,0,0,0,0
61.73,7,0.732,0,0,1,1
43.85,5,0.801,1,1,1,0
20.44,7,0.901,0,0,0,1
81.92,7,0.84,0,0,0,0
26.44,5,0.902,0,0,0,0
59.53,1,0.688,1,0,1,0
61.89,29,0.393,1,0,0,1
54.29,4,0.616,1,0,1,0
55.92,7,0.832,0,0,0,0
40.3,7,0.742,1,0,1,0
17.74,2,1.0,0,0,0,0
55.61,15,0.305,0,1,0,1
29.39,7,0.635,1,0,0,0
32.03,4,0.816,0,0,1,1
41.12,8,0.308,0,0,0,1
33.34,8,0.147,0,0,0,1
60.86,11,0.693,1,0,1,1
1.78,4,0.808,1,0,0,0
100.66,5,0.965,0,1,1,0
15.06,3,0.698,0,0,0,0
40.82,6,0.682,0,0,0,0
31.3,12,0.477,0,0,0,1
32.63,8,1.0,0,0,0,1
51.73,19,0.277,0,0,0,0
123.58,15,0.58,1,0,1,1
65.94,13,0.12,1,0,0,0
52.31,4,0.584,1,0,0,1
1129.03,8,0.4,1,0,0,0
23.78,7,0.881,0,1,1,0
39.81,14,0.165,0,0,0,0
70.55,13,0.197,1,0,1,1
195.73,8,0.388,0,0,0,1
11.44,18,0.198,0,0,0,1
26.76,6,0.825,0,0,0,0
50.92,10,0.665,0,0,0,0
40.35,18,0.515,1,0,1,1
46.25,4,0.789,0,0,0,0
35.75,8,0.749,0,0,1,1
47.23,5,0.931,0,0,1,0
715.08,32,0.567,0,0,0,1
29.6,5,0.429,1,0,0,0
19.33,1,0.917,0,0,0,0
63.6,12,0.138,1,0,0,1
70.93,6,0.504,0,1,1,0
37.35,15,0.146,0,0,0,1
9.29,8,0.324,0,0,0,0
94.82,15,0.554,0,0,1,1
52.65,7,0.735,0,0,1,0
101.91,3,0.416,1,0,0,1
67.66,3,0.597,0,1,1,1
49.46,3,0.829,0,1,0,1
27.09,13,0.176,0,1,1,0
5.27,12,0.079,0,1,1,1
72.19,5,0.635,0,0,1,1
45.63,9,0.515,0,0,0,0
80.0,14,0.254,0,1,1,1
14.46,14,0.194,0,0,0,1
29.55,3,0.93,1,1,1,0
90.72,4,0.625,1,1,1,0
53.82,7,0.877,1,0,1,1
57.79,4,0.351,1,1,1,1
41.5,12,0.619,1,0,1,0
36.35,5,0.857,0,1,1,1
53.86,9,0.125,1,0,0,0
306.94,23,0.214,0,0,0,1
26.78,10,0.894,0,0,0,0
336.56,7,0.683,0,0,1,1
58.93,5,0.832,0,0,0,1
93.41,15,0.031,0,0,0,1
13.52,5,0.819,0,0,0,1
13.06,9,0.807,1,0,0,0
221.1,19,0.006,0,0,0,1
47.97,6,0.766,1,0,1,0
10.96,3,0.853,0,0,0,1
85.6,17,0.36,0,0,0,1
39.78,5,0.613,0,0,1,1
32.57,3,0.834,0,0,0,0
84.87,9,0.573,1,0,1,1
32.85,5,0.971,0,0,0,0
20.07,6,0.647,0,0,1,0
123.17,18,0.394,0,0,0,1
70.27,5,0.914,0,0,0,0
35.58,5,0.745,0,0,0,0
108.13,7,0.156,0,0,0,0
11.65,7,0.571,1,0,0,0
34.0,15,0.4,0,0,1,1
54.3,2,0.552,0,0,0,0
46.43,7,0.541,1,0,1,1
49.32,15,0.318,0,0,1,1
33.93,9,0.614,1,0,0,1
50.78,3,0.952,0,0,1,0
39.89,11,0.191,0,0,0,1
73.62,4,0.713,1,0,0,0
87.15,14,0.238,1,0,0,1
5.11,4,0.257,0,1,0,0
38.56,5,0.225,0,0,0,0
59.26,4,0.725,0,0,0,0
63.43,9,0.95,0,0,0,0
36.92,4,0.817,0,0,0,0
57.34,8,0.63,0,1,1,0
117.59,15,0.24,0,0,0,1
11.31,6,0.817,1,1,1,1
42.35,5,0.934,0,0,0,0
16.93,16,0.392,0,0,1,0
12.47,6,0.912,0,0,0,1
51.32,38,0.24,1,0,1,1
196.53,9,0.835,0,0,1,1
41.71,14,0.381,0,0,0,1
222.14,18,0.557,1,0,1,1
53.8,12,0.255,0,0,0,1
84.53,11,0.02,0,0,0,1
31.29,9,0.474,0,0,0,1
16.3,1,0.271,1,0,0,0
33.88,9,0.406,0,1,1,1
109.29,17,0.277,1,0,0,1
19.95,17,0.06,0,0,1,1
95.18,15,0.695,0,0,0,0
10.46,10,0.824,0,1,1,0
86.74,12,0.483,0,0,1,0
12.66,4,0.965,0,0,0,0
49.5,26,0.42,0,1,1,0
84.43,20,0.282,0,0,0,0
81.78,4,0.739,0,0,0,0
8.39,4,0.775,0,0,1,1
86.86,10,0.209,1,0,1,1
8.81,8,0.924,0,0,1,0
90.41,6,0.332,0,1,1,1
25.48,6,0.86,0,0,0,0
45.6,6,0.813,0,0,0,1
29.38,6,0.928,0,0,0,0
20.6,6,0.343,1,0,0,0
24.52,16,0.265,0,0,0,1
1101.06,7,0.996,0,1,1,0
78.31,18,0.388,0,1,0,1
22.46,6,1.0,0,0,1,0
87.95,3,0.7,0,0,1,1
86.33,21,0.489,1,0,0,1
14.25,5,0.832,0,0,1,0
22.76,23,0.343,0,0,0,0
738.35,23,0.534,0,0,1,1
753.5,12,0.498,0,0,1,1
8.23,15,0.293,0,0,0,1
44.87,6,0.603,1,0,1,1
79.12,16,0.801,0,0,0,0
29.79,12,0.0,0,0,1,1
159.58,5,0.678,0,0,0,0
19.21,4,0.701,1,0,0,1
15.04,6,0.686,1,0,0,1
26.86,7,0.646,0,1,1,0
61.91,5,0.974,0,0,0,0
198.91,10,0.548,0,1,1,0
86.73,10,0.937,0,0,0,0
47.54,4,0.731,0,0,0,0
57.12,5,0.702,0,0,0,1
102.56,8,0.426,1,0,1,1
181.28,5,0.73,0,0,0,0
67.2,7,0.476,0,0,1,1
9.68,6,0.616,0,0,1,1
28.06,6,0.573,0,0,0,0
55.87,16,0.33,0,0,1,1
28.13,14,0.255,0,0,1,1
2.74,4,0.811,0,0,0,0
117.58,8,0.717,0,1,1,0
36.23,2,0.79,0,0,0,0
56.41,3,0.595,0,0,1,1
39.82,4,0.954,0,0,1,0
1073.95,6,0.825,0,0,0,1
139.81,8,0.422,1,0,1,1
67.94,9,0.772,1,0,1,1
70.34,4,0.818,0,0,0,1
29.21,28,0.732,0,0,0,1
113.15,8,0.464,1,1,1,0
78.76,1,0.858,0,0,0,0
70.04,4,0.829,0,0,1,0
48.18,8,0.469,0,1,1,1
23.85,2,0.813,0,0,1,0
36.87,8,0.333,0,0,0,1
22.12,8,0.471,1,0,1,1
56.55,12,0.166,0,0,1,1
94.82,9,0.49,0,1,1,1
56.18,7,0.688,0,0,0,1
83.0,11,0.459,0,1,0,1
43.35,14,0.564,0,0,1,0
22.25,1,0.837,0,0,0,0
53.17,10,0.681,1,0,1,1
62.72,24,0.494,0,0,0,1
7.55,6,0.583,0,0,0,0
22.31,5,0.439,0,1,1,0
34.45,6,0.711,1,0,1,0
28.47,5,0.953,0,0,0,0
33.04,15,0.275,1,0,0,0
44.86,11,0.385,0,1,0,1
25.41,4,0.934,0,0,0,0
54.04,4,0.891,0,0,1,0
16.69,7,0.585,1,0,0,0
31.71,19,0.701,0,0,1,0
22.79,13,0.2,0,0,0,1
30.56,3,0.744,0,1,1,0
107.37,26,0.749,0,0,0,1
23.73,7,0.609,0,0,0,0
13.06,14,0.128,1,0,0,1
115.55,7,0.769,0,0,0,1
21.65,17,0.16,1,0,1,1
18.52,6,0.961,1,0,0,0
24.06,5,0.603,0,0,0,1
148.0,15,0.057,0,0,0,1
15.77,5,0.58,0,0,0,0
55.01,17,0.073,0,0,0,1
53.09,6,0.758,0,0,0,0
40.2,1,0.74,0,0,1,0
43.28,2,0.986,0,0,0,0
118.77,8,0.508,0,0,1,0
79.07,23,0.176,1,1,1,1
52.49,3,0.724,0,0,0,1
14.36,6,0.284,0,1,1,0
36.21,4,0.522,0,0,0,0
12.2,10,0.909,0,1,0,1
88.37,7,0.513,1,1,1,0
74.89,6,0.916,1,1,1,1
36.37,7,0.642,0,0,0,1
25.83,9,0.338,0,0,1,1
47.47,9,0.47,1,0,1,0
20.24,5,0.425,0,0,0,1
28.65,5,0.9,0,0,0,0
16.13,5,0.668,0,0,1,1
26.18,17,0.787,0,0,0,0
34.37,7,0.675,1,0,1,0
50.96,10,0.524,0,0,0,1
24.19,3,0.774,0,0,1,1
15.1,9,0.837,0,1,0,1
13.56,5,0.776,0,0,0,0
54.63,5,0.92,1,0,0,0
14.18,3,0.512,1,0,1,1
22.77,5,0.941,0,0,0,0
26.73,5,0.872,0,0,0,0
76.08,6,0.572,0,0,0,0
20.37,9,0.207,1,0,0,0
14.8,4,0.654,0,0,0,0
1076.62,6,0.661,0,1,1,0
57.38,15,0.348,0,0,1,1
31.29,6,0.469,0,0,0,1
22.08,5,0.727,0,0,0,0
156.38,15,0.401,0,0,0,0
79.16,2,0.584,0,0,0,0
3.58,5,0.685,1,1,1,0
41.27,6,1.0,0,0,0,1
75.89,4,0.832,0,0,0,0
36.76,5,0.687,0,0,1,0
90.82,4,0.772,1,0,1,0
84.92,5,0.848,0,0,1,0
73.33,6,1.0,0,1,1,1
23.39,8,0.227,0,0,0,1
30.23,11,0.216,0,0,0,1
52.41,5,0.876,0,0,0,0
66.76,13,0.762,1,0,0,0
88.55,4,0.504,0,1,1,0
7.94,9,0.623,0,0,1,0
64.32,6,0.682,0,0,0,1
16.12,6,0.53,1,0,0,0
57.31,7,0.977,0,0,0,0
66.24,3,0.669,0,1,1,0
13.89,12,0.286,0,0,1,0
122.09,4,0.814,0,0,1,1
31.98,4,0.453,0,0,0,1
42.61,18,0.778,0,1,1,0
22.63,6,0.723,1,0,0,1
65.96,3,0.869,0,1,1,0
6.89,3,0.569,0,0,1,0
27.24,10,0.853,0,0,1,0
852.68,5,0.142,0,0,1,0
30.07,11,0.0,0,0,0,1
19.91,7,0.746,0,0,0,1
115.8,22,0.07,0,0,1,0
80.6,19,0.097,0,0,1,1
74.73,6,0.864,0,0,0,0
154.79,3,0.783,0,1,1,1
27.99,10,0.298,1,1,1,1
465.15,14,0.053,0,1,1,1
28.47,4,0.925,0,0,0,0
28.19,7,0.917,0,0,1,0
10.61,13,0.347,0,0,0,0
58.45,5,0.908,0,1,1,0
50.5,12,0.386,0,0,0,1
31.93,6,0.567,0,0,1,0
23.47,5,0.438,0,0,0,0
45.43,8,0.838,1,0,1,0
13.1,5,0.495,1,0,0,1
8.43,5,0.796,0,0,0,0
22.98,2,0.983,0,0,1,1
97.9,15,0.55,1,0,1,1
56.63,4,0.907,0,0,0,0
169.9,15,0.199,0,0,1,1
143.11,11,0.415,0,0,1,1
95.26,9,0.887,0,0,0,0
83.53,4,0.946,0,0,1,0
25.62,6,0.799,0,0,0,1
164.78,5,0.651,1,0,1,0
49.33,14,0.588,1,0,0,1
5.88,14,1.0,0,0,0,0
85.52,5,0.591,0,1,0,0
57.77,8,0.906,1,1,1,0
48.56,12,0.666,0,1,1,0
35.84,4,0.687,0,0,0,0
82.41,3,0.769,0,0,0,1
31.97,15,0.307,1,0,1,1
30.0,17,0.449,1,0,0,1
13.24,2,0.978,0,0,1,1
63.09,5,0.628,1,1,1,0
55.1,25,0.559,0,0,0,1
34.47,2,0.289,0,0,0,0
78.96,3,0.794,0,0,0,0
33.11,15,0.635,1,0,1,1
21.63,16,0.037,0,0,0,1
16.58,6,0.847,0,0,0,1
16.6,3,0.638,0,0,0,1
33.43,7,0.7,1,0,0,1
16.71,7,0.859,0,0,0,0
42.11,7,0.664,0,0,1,0
827.74,11,0.742,0,1,1,1
16.15,12,0.294,1,0,1,1
29.06,7,0.822,0,0,0,0
